+00000;+0.000;+4.84882498E+00;
+00001;+0.001;+4.15977764E+00;
+00002;+0.004;+1.51638031E+00;
+00003;+0.007;+4.88253161E-02;
+00004;+0.010;+7.30588496E-01;
+00005;+0.013;+3.09661388E+00;
+00006;+0.015;+5.33425379E+00;
+00007;+0.018;+5.92553282E+00;
+00008;+0.021;+4.32276344E+00;
+00009;+0.024;+1.73877847E+00;
+00010;+0.027;+9.00270343E-02;
+00011;+0.030;+6.12901807E-01;
+00012;+0.032;+2.83210349E+00;
+00013;+0.035;+5.21827459E+00;
+00014;+0.038;+5.95990562E+00;
+00015;+0.041;+4.48119640E+00;
+00016;+0.044;+1.90779662E+00;
+00017;+0.046;+1.67536333E-01;
+00018;+0.049;+4.59362835E-01;
+00019;+0.052;+2.64089108E+00;
+00020;+0.055;+5.08385706E+00;
+00021;+0.058;+5.98494530E+00;
+00022;+0.061;+4.65066957E+00;
+00023;+0.063;+2.16980314E+00;
+00024;+0.066;+2.35485017E-01;
+00025;+0.069;+3.65691543E-01;
+00026;+0.072;+2.45514202E+00;
+00027;+0.075;+4.94454479E+00;
+00028;+0.078;+5.99746513E+00;
+00029;+0.080;+4.87045002E+00;
+00030;+0.083;+2.35031652E+00;
+00031;+0.086;+3.14701557E-01;
+00032;+0.089;+2.76345283E-01;
+00033;+0.092;+2.26233625E+00;
+00034;+0.095;+4.79112005E+00;
+00035;+0.097;+5.99279833E+00;
+00036;+0.100;+5.01909494E+00;
+00037;+0.103;+2.54596782E+00;
+00038;+0.106;+4.11559731E-01;
+00039;+0.109;+2.00315595E-01;
+00040;+0.112;+1.99554944E+00;
+00041;+0.114;+4.55927467E+00;
+00042;+0.117;+5.97265291E+00;
+00043;+0.120;+5.16182137E+00;
+00044;+0.123;+2.74867582E+00;
+00045;+0.126;+5.19002914E-01;
+00046;+0.128;+1.09489717E-01;
+00047;+0.131;+1.80945873E+00;
+00048;+0.134;+4.40004492E+00;
+00049;+0.137;+5.94294691E+00;
+00050;+0.140;+5.28337765E+00;
+00051;+0.143;+2.92657161E+00;
+00052;+0.145;+6.77777469E-01;
+00053;+0.148;+6.55563995E-02;
+00054;+0.151;+1.64214790E+00;
+00055;+0.154;+4.22613287E+00;
+00056;+0.157;+5.89776134E+00;
+00057;+0.160;+5.40812111E+00;
+00058;+0.162;+3.21293473E+00;
+00059;+0.165;+8.05366158E-01;
+00060;+0.168;+3.15251499E-02;
+00061;+0.171;+1.47290218E+00;
+00062;+0.174;+4.03787947E+00;
+00063;+0.176;+5.81262636E+00;
+00064;+0.179;+5.56211519E+00;
+00065;+0.182;+3.39902544E+00;
+00066;+0.185;+9.43312228E-01;
+00067;+0.188;+8.64795595E-03;
+00068;+0.191;+1.29978669E+00;
+00069;+0.193;+3.76767826E+00;
+00070;+0.196;+5.73671055E+00;
+00071;+0.199;+5.66147757E+00;
+00072;+0.202;+3.60674119E+00;
+00073;+0.205;+1.10151768E+00;
+00074;+0.208;-1.14029483E-03;
+00075;+0.210;+1.07636416E+00;
+00076;+0.213;+3.57555532E+00;
+00077;+0.216;+5.64986801E+00;
+00078;+0.219;+5.74638510E+00;
+00079;+0.222;+3.78884840E+00;
+00080;+0.224;+1.31902182E+00;
+00081;+0.227;+9.44467448E-03;
+00082;+0.230;+9.36255574E-01;
+00083;+0.233;+3.40187097E+00;
+00084;+0.236;+5.55744886E+00;
+00085;+0.239;+5.81558561E+00;
+00086;+0.241;+4.04436731E+00;
+00087;+0.244;+1.47199166E+00;
+00088;+0.247;+3.03869825E-02;
+00089;+0.250;+8.05480003E-01;
+00090;+0.253;+3.21555257E+00;
+00091;+0.256;+5.45808697E+00;
+00092;+0.258;+5.89480209E+00;
+00093;+0.261;+4.20826340E+00;
+00094;+0.264;+1.63144910E+00;
+00095;+0.267;+6.18004426E-02;
+00096;+0.270;+6.88931525E-01;
+00097;+0.273;+3.04323387E+00;
+00098;+0.275;+5.30181599E+00;
+00099;+0.278;+5.93611765E+00;
+00100;+0.281;+4.37022495E+00;
+00101;+0.284;+1.78897178E+00;
+00102;+0.287;+1.02774523E-01;
+00103;+0.290;+5.84447622E-01;
+00104;+0.292;+2.78987741E+00;
+00105;+0.295;+5.19323492E+00;
+00106;+0.298;+5.96559620E+00;
+00107;+0.301;+4.51841450E+00;
+00108;+0.304;+1.94842923E+00;
+00109;+0.306;+1.80852905E-01;
+00110;+0.309;+4.39786345E-01;
+00111;+0.312;+2.60788417E+00;
+00112;+0.315;+5.05927229E+00;
+00113;+0.318;+5.98767662E+00;
+00114;+0.321;+4.67423010E+00;
+00115;+0.323;+2.20326519E+00;
+00116;+0.326;+2.49256864E-01;
+00117;+0.329;+3.48163724E-01;
+00118;+0.332;+2.41758251E+00;
+00119;+0.335;+4.91859484E+00;
+00120;+0.338;+5.99940014E+00;
+00121;+0.340;+4.89583158E+00;
+00122;+0.343;+2.38138866E+00;
+00123;+0.346;+3.29270124E-01;
+00124;+0.349;+2.64622152E-01;
+00125;+0.352;+2.24048328E+00;
+00126;+0.355;+4.77325058E+00;
+00127;+0.357;+5.99074984E+00;
+00128;+0.360;+5.03377724E+00;
+00129;+0.363;+2.56804824E+00;
+00130;+0.366;+4.21006531E-01;
+00131;+0.369;+1.93600401E-01;
+00132;+0.372;+1.97995651E+00;
+00133;+0.374;+4.54823446E+00;
+00134;+0.377;+5.97117329E+00;
+00135;+0.380;+5.16626024E+00;
+00136;+0.383;+2.75083828E+00;
+00137;+0.386;+5.19458175E-01;
+00138;+0.389;+1.09034449E-01;
+00139;+0.391;+1.81093836E+00;
+00140;+0.394;+4.40084171E+00;
+00141;+0.397;+5.94351578E+00;
+00142;+0.400;+5.28189802E+00;
+00143;+0.403;+2.92452288E+00;
+00144;+0.405;+6.75728738E-01;
+00145;+0.408;+6.71498403E-02;
+00146;+0.411;+1.65079808E+00;
+00147;+0.414;+4.24457121E+00;
+00148;+0.417;+5.90265560E+00;
+00149;+0.420;+5.39366627E+00;
+00150;+0.422;+3.18732595E+00;
+00151;+0.425;+7.89318025E-01;
+00152;+0.428;+3.48258391E-02;
+00153;+0.431;+1.49771428E+00;
+00154;+0.434;+4.07680511E+00;
+00155;+0.437;+5.85371447E+00;
+00156;+0.439;+5.54003477E+00;
+00157;+0.442;+3.35748219E+00;
+00158;+0.445;+9.10191536E-01;
